bb_period,bb_std_dev,take_profit_pct,stop_loss_pct,min_rr,use_adx_filter,adx_threshold,use_ema_filter,ema_period,total_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,calmar_ratio,max_consec_losses,avg_bars_held
10,1.5,30,5,2.0,False,20,False,50,58,8.6,0.566,-75.51,88.33,-0.855,27,26.9
30,1.5,20,10,3.0,False,20,False,50,14,21.4,0.545,-45.77,56.95,-0.804,8,19.6
20,3.0,20,5,3.0,False,20,False,50,17,11.8,0.533,-33.29,38.4,-0.867,7,25.5
30,1.5,30,10,3.0,False,20,False,50,14,14.3,0.5,-52.27,56.95,-0.918,8,29.9
20,1.5,30,5,3.0,False,20,False,50,65,7.7,0.5,-82.89,89.88,-0.922,32,21.1
20,1.5,30,5,2.0,False,20,False,50,125,7.2,0.466,-97.24,98.61,-0.986,39,29.6
30,3.0,30,5,3.0,False,20,False,50,42,7.1,0.462,-70.28,75.94,-0.926,20,22.4
20,1.0,30,5,1.5,False,20,False,50,127,7.1,0.458,-97.51,98.74,-0.987,43,31.8
20,1.0,30,10,2.0,False,20,False,50,16,12.5,0.429,-61.34,61.34,-1.0,8,38.8
20,1.0,30,5,2.0,False,20,False,50,91,6.6,0.424,-93.83,95.01,-0.988,32,24.2
20,3.0,30,5,3.0,False,20,False,50,16,6.2,0.4,-39.77,39.77,-1.0,9,49.7
10,1.0,20,5,3.0,False,20,False,50,12,8.3,0.364,-31.74,36.98,-0.859,9,5.6
20,2.0,30,5,3.0,False,20,False,50,73,5.5,0.348,-91.71,93.29,-0.983,30,25.0
20,3.0,20,10,1.5,False,20,False,50,16,12.5,0.286,-67.06,67.06,-1.0,7,66.8
20,3.0,30,10,1.5,False,20,False,50,15,6.7,0.214,-70.26,70.26,-1.0,8,95.7
10,1.0,30,5,3.0,False,20,False,50,12,0.0,0.0,-45.96,45.96,-1.0,12,7.1
30,1.0,30,10,3.0,False,20,False,50,8,0.0,0.0,-56.95,56.95,-1.0,8,24.5
30,1.0,20,10,3.0,False,20,False,50,8,0.0,0.0,-56.95,56.95,-1.0,8,24.5
