datetime,time,open,high,low,close,volume
2026-06-02 14:00:00,1780408800,1008.06563638,1037.03808339,997.31858214,1030.46626031,
2026-06-02 14:01:00,1780408860,1030.46626031,1055.06491586,1030.46626031,1051.39480502,
2026-06-02 14:02:00,1780408920,1051.39480502,1057.20705574,1027.81831127,1052.16681478,
2026-06-02 14:03:00,1780408980,1052.16681478,1077.26516183,1051.54858646,1065.41460741,
2026-06-02 14:04:00,1780409040,1065.41460741,1077.57944793,1065.41460741,1071.19534938,
2026-06-02 14:05:00,1780409100,1071.19534938,1076.96956173,1057.731878,1058.92180317,
2026-06-02 14:06:00,1780409160,1058.92180317,1064.29597247,1039.87634491,1050.0917684,
2026-06-02 14:07:00,1780409220,1050.0917684,1083.99829554,1048.85518177,1083.65293997,
2026-06-02 14:08:00,1780409280,1083.65293997,1117.2226685,1083.65293997,1117.18539986,
2026-06-02 14:09:00,1780409340,1117.18539986,1152.24382061,1116.58043871,1152.24382061,
2026-06-02 14:10:00,1780409400,1152.24382061,1208.85014517,1139.36052193,1182.32976744,
2026-06-02 14:11:00,1780409460,1182.32976744,1197.97257771,1118.51959438,1149.07231753,
2026-06-02 14:12:00,1780409520,1149.07231753,1155.81308807,1081.39785715,1081.39785715,
2026-06-02 14:13:00,1780409580,1081.39785715,1110.35406147,1079.79311663,1108.08520944,
2026-06-02 14:14:00,1780409640,1108.08520944,1127.5048418,1102.91890367,1126.73232068,
2026-06-02 14:15:00,1780409700,1126.73232068,1147.81081225,1126.28615603,1146.10124262,
2026-06-02 14:16:00,1780409760,1146.10124262,1170.15858861,1134.88497295,1144.85224851,
2026-06-02 14:17:00,1780409820,1144.85224851,1174.28077096,1144.57259877,1160.72454578,
2026-06-02 14:18:00,1780409880,1160.72454578,1222.77912575,1160.72354591,1214.51528103,
2026-06-02 14:19:00,1780409940,1214.51528103,1228.02481065,1187.12374242,1213.91401179,
2026-06-02 14:20:00,1780410000,1213.91401179,1235.23715652,1192.28983733,1227.26365761,
2026-06-02 14:21:00,1780410060,1227.26365761,1252.90907108,1224.60808741,1249.2122367,
2026-06-02 14:22:00,1780410120,1249.2122367,1300.24995867,1244.3473384,1297.48320737,
2026-06-02 14:23:00,1780410180,1297.48320737,1367.58563663,1268.0799645,1342.68967493,
2026-06-02 14:24:00,1780410240,1342.68967493,1359.41820305,1319.28669664,1347.57483882,
2026-06-02 14:25:00,1780410300,1347.57483882,1361.91441279,1306.06441455,1361.71371472,
2026-06-02 14:26:00,1780410360,1361.71371472,1416.23118858,1361.5130378,1401.38837681,
2026-06-02 14:27:00,1780410420,1401.38837681,1532.04833238,1401.38837681,1474.48086409,
2026-06-02 14:28:00,1780410480,1474.48086409,1479.71120533,1398.35672793,1399.85625001,
2026-06-02 14:29:00,1780410540,1399.85625001,1442.54539733,1390.13254634,1427.68305601,
