datetime,time,open,high,low,close,volume
2026-06-02 13:55:00,1780408500,5313.3043274,5341.18223568,5302.28158458,5316.67582428,
2026-06-02 13:56:00,1780408560,5316.67582428,5347.41774918,5298.3558196,5347.41774918,
2026-06-02 13:57:00,1780408620,5347.41774918,5348.16543957,5305.5061555,5312.09286934,
2026-06-02 13:58:00,1780408680,5312.09286934,5312.09286934,5288.28870061,5297.87852347,
2026-06-02 13:59:00,1780408740,5297.87852347,5342.09307661,5280.5070886,5314.01963829,
2026-06-02 14:00:00,1780408800,5314.01963829,5341.19820457,5247.76154417,5270.13726853,
2026-06-02 14:01:00,1780408860,5270.13726853,5270.13726853,5212.24413221,5225.15690336,
2026-06-02 14:02:00,1780408920,5225.15690336,5282.6391392,5210.80316991,5226.59337352,
2026-06-02 14:03:00,1780408980,5226.59337352,5231.98905516,5173.33911053,5205.59253987,
2026-06-02 14:04:00,1780409040,5205.59253987,5205.59253987,5156.93394489,5171.60100592,
2026-06-02 14:05:00,1780409100,5171.60100592,5212.96485257,5157.26672747,5210.73594522,
2026-06-02 14:06:00,1780409160,5210.73594522,5263.90942412,5200.18958229,5241.69539376,
2026-06-02 14:07:00,1780409220,5241.69539376,5245.66262683,5172.12020299,5172.94211268,
2026-06-02 14:08:00,1780409280,5172.94211268,5172.94211268,5089.06960229,5089.06960229,
2026-06-02 14:09:00,1780409340,5089.06960229,5094.32157362,5017.11840681,5018.25512993,
2026-06-02 14:10:00,1780409400,5018.25512993,5050.44195527,4916.76052087,4979.96815639,
2026-06-02 14:11:00,1780409460,4979.96815639,5131.52013731,4949.12564774,5059.86038079,
2026-06-02 14:12:00,1780409520,5059.86038079,5232.8018072,5045.18126363,5232.8018072,
2026-06-02 14:13:00,1780409580,5232.8018072,5236.67417773,5172.45072244,5184.56216814,
2026-06-02 14:14:00,1780409640,5184.56216814,5201.24504745,5148.50136619,5150.29899399,
2026-06-02 14:15:00,1780409700,5150.29899399,5151.19619737,5098.95143533,5102.85788111,
2026-06-02 14:16:00,1780409760,5102.85788111,5126.42211229,5047.71490536,5103.26726402,
2026-06-02 14:17:00,1780409820,5103.26726402,5103.59206848,5038.96362799,5071.89649704,
2026-06-02 14:18:00,1780409880,5071.89649704,5071.89649704,4937.73267801,4956.24801815,
2026-06-02 14:19:00,1780409940,4956.24801815,5008.76891786,4925.74390077,4946.07153975,
2026-06-02 14:20:00,1780410000,4946.07153975,4992.39893455,4900.72877187,4920.76909593,
2026-06-02 14:21:00,1780410060,4920.76909593,4927.51348537,4875.31495614,4881.65592941,
2026-06-02 14:22:00,1780410120,4881.65592941,4891.19429462,4778.58500808,4789.61778465,
2026-06-02 14:23:00,1780410180,4789.61778465,4847.13763037,4643.06273925,4692.38201771,
2026-06-02 14:24:00,1780410240,4692.38201771,4746.9496881,4670.14005482,4693.74352131,
2026-06-02 14:25:00,1780410300,4693.74352131,4776.11335803,4672.40677899,4673.31147854,
2026-06-02 14:26:00,1780410360,4673.31147854,4673.70435478,4589.95491823,4624.09366165,
2026-06-02 14:27:00,1780410420,4624.09366165,4624.09366165,4401.23014649,4508.58869315,
2026-06-02 14:28:00,1780410480,4508.58869315,4658.32500437,4499.023853,4655.43042779,
2026-06-02 14:29:00,1780410540,4655.43042779,4681.88150668,4590.41108334,4624.35446157,
2026-06-02 14:30:00,1780410600,4624.35446157,4764.60548504,4601.4458491,4669.83200279,
2026-06-02 14:31:00,1780410660,4669.83200279,4713.57944796,4648.19313987,4699.58264609,
2026-06-02 14:32:00,1780410720,4699.58264609,4764.49182639,4636.29498606,4764.49182639,
2026-06-02 14:33:00,1780410780,4764.49182639,4824.3019701,4739.61564463,4809.49093681,
2026-06-02 14:34:00,1780410840,4809.49093681,4834.33041327,4768.66421092,4771.33333041,
2026-06-02 14:35:00,1780410900,4771.33333041,4856.99065057,4753.57189582,4856.10665227,
2026-06-02 14:36:00,1780410960,4856.10665227,4902.62705622,4815.99301645,4898.10289284,
