datetime,time,open,high,low,close,volume
2026-06-03 03:35:00,1780457700,0.1,478.12892393,0.1,465.06660507,
2026-06-03 03:36:00,1780457760,465.06660507,481.04152838,462.66263651,477.9057941,
2026-06-03 03:37:00,1780457820,477.9057941,479.35411983,467.62129297,478.41873627,
2026-06-03 03:38:00,1780457880,478.41873627,488.21332348,477.54317487,482.35143446,
2026-06-03 03:39:00,1780457940,482.35143446,492.00326184,480.19278248,485.99336579,
2026-06-03 03:40:00,1780458000,485.99336579,490.60598879,475.09446399,477.18800613,
2026-06-03 03:41:00,1780458060,477.18800613,489.6948873,474.00932015,486.60607506,
2026-06-03 03:42:00,1780458120,486.60607506,491.40880624,484.583649,491.40712892,
2026-06-03 03:43:00,1780458180,491.40712892,527.31282016,490.9176302,525.25336543,
2026-06-03 03:44:00,1780458240,525.25336543,539.94071182,511.12197915,536.99458383,
2026-06-03 03:45:00,1780458300,536.99458383,537.01112748,511.19715633,513.78829458,
2026-06-03 03:46:00,1780458360,513.78829458,547.10812381,511.71090768,545.61231516,
2026-06-03 03:47:00,1780458420,545.61231516,547.11758944,529.70516826,530.41362024,
2026-06-03 03:48:00,1780458480,530.41362024,547.10998558,529.50525029,540.98566551,
2026-06-03 03:49:00,1780458540,540.98566551,567.60078048,537.19605733,559.51176805,
2026-06-03 03:50:00,1780458600,559.51176805,608.79395674,558.54687175,606.18137694,
2026-06-03 03:51:00,1780458660,606.18137694,606.88580579,568.78242518,582.87021133,
2026-06-03 03:52:00,1780458720,582.87021133,588.69767726,559.93171367,567.6965815,
2026-06-03 03:53:00,1780458780,567.6965815,576.38554752,559.7492073,569.48088502,
2026-06-03 03:54:00,1780458840,569.48088502,570.38600769,545.91102813,545.94542122,
2026-06-03 03:55:00,1780458900,545.94542122,549.0535189,536.82194537,542.36045823,
2026-06-03 03:56:00,1780458960,542.36045823,552.19599771,539.09123849,548.62030893,
2026-06-03 03:57:00,1780459020,548.62030893,556.94689718,539.3219521,556.94689718,
2026-06-03 03:58:00,1780459080,556.94689718,560.74634695,550.31355105,550.59330902,
2026-06-03 03:59:00,1780459140,550.59330902,551.18728641,540.44741361,540.86494351,
2026-06-03 04:00:00,1780459200,540.86494351,544.38416309,518.81214062,519.05750814,
2026-06-03 04:01:00,1780459260,519.05750814,521.63077623,498.79407923,499.34797697,
2026-06-03 04:02:00,1780459320,499.34797697,499.34797697,481.58351006,481.91409384,
2026-06-03 04:03:00,1780459380,481.91409384,482.76419544,464.6193731,464.7331233,
2026-06-03 04:04:00,1780459440,464.7331233,464.80944398,436.12499893,439.61489399,
2026-06-03 04:05:00,1780459500,439.61489399,447.73430564,439.24478179,441.19127059,
2026-06-03 04:06:00,1780459560,441.19127059,455.2361919,429.66374155,455.2361919,
2026-06-03 04:07:00,1780459620,455.2361919,466.75891883,455.2361919,466.71383692,
2026-06-03 04:08:00,1780459680,466.71383692,475.87308442,465.09107284,467.5930231,
2026-06-03 04:09:00,1780459740,467.5930231,471.44459871,461.37594318,467.62528564,
2026-06-03 04:10:00,1780459800,467.62528564,472.69522761,457.24360738,463.46152744,
2026-06-03 04:11:00,1780459860,463.46152744,474.55974093,463.28985056,474.11031049,
2026-06-03 04:12:00,1780459920,474.11031049,475.6983997,463.19622667,463.28615898,
2026-06-03 04:13:00,1780459980,463.28615898,470.2335934,461.17397596,469.65172974,
2026-06-03 04:14:00,1780460040,469.65172974,469.83378459,464.44656724,468.69080902,
2026-06-03 04:15:00,1780460100,468.69080902,471.5046158,461.61145389,462.47011185,
2026-06-03 04:16:00,1780460160,462.47011185,462.47011185,444.71006577,454.95961291,
2026-06-03 04:17:00,1780460220,454.95961291,465.46089434,452.73273569,459.31757172,
2026-06-03 04:18:00,1780460280,459.31757172,465.41422703,456.94098654,464.39448056,
2026-06-03 04:19:00,1780460340,464.39448056,465.75083093,462.05221893,464.18756755,
2026-06-03 04:20:00,1780460400,464.18756755,465.18692137,457.83463181,458.22326595,
2026-06-03 04:21:00,1780460460,458.22326595,461.33399784,455.87138299,460.2466494,
2026-06-03 04:22:00,1780460520,460.2466494,461.89631144,456.35007616,459.32807685,
2026-06-03 04:23:00,1780460580,459.32807685,460.16950607,451.75115015,452.78687799,
2026-06-03 04:24:00,1780460640,452.78687799,457.2014476,448.29738392,448.53156563,
2026-06-03 04:25:00,1780460700,448.53156563,453.40607155,444.32171439,444.32171439,
2026-06-03 04:26:00,1780460760,444.32171439,447.45207637,427.30083377,430.83171612,
2026-06-03 04:27:00,1780460820,430.83171612,430.92206018,424.85695983,427.98088026,
2026-06-03 04:28:00,1780460880,427.98088026,431.31376663,427.89495639,430.27755198,
2026-06-03 04:29:00,1780460940,430.27755198,432.21391316,429.49708075,431.79563413,
2026-06-03 04:30:00,1780461000,431.79563413,456.70981544,431.79483725,454.90088686,
2026-06-03 04:31:00,1780461060,454.90088686,470.60475063,454.90088686,466.36694977,
2026-06-03 04:32:00,1780461120,466.36694977,468.18601872,455.16185634,457.15798417,
2026-06-03 04:33:00,1780461180,457.15798417,457.17218529,447.74371264,449.98050605,
2026-06-03 04:34:00,1780461240,449.98050605,449.99533239,438.97316782,443.88654896,
2026-06-03 04:35:00,1780461300,443.88654896,446.46908794,437.3709339,443.43675034,
2026-06-03 04:36:00,1780461360,443.43675034,455.0902903,443.29135494,454.93956648,
2026-06-03 04:37:00,1780461420,454.93956648,456.32453583,446.44604195,447.3396648,
2026-06-03 04:38:00,1780461480,447.3396648,451.74227589,447.17053645,449.86784784,
2026-06-03 04:39:00,1780461540,449.86784784,451.139831,446.99134059,449.9672265,
2026-06-03 04:40:00,1780461600,449.9672265,450.61122192,441.76593969,441.76593969,
2026-06-03 04:41:00,1780461660,441.76593969,444.12323976,440.67089556,442.65498714,
2026-06-03 04:42:00,1780461720,442.65498714,445.28500911,438.50877891,442.8882646,
2026-06-03 04:43:00,1780461780,442.8882646,442.8882646,438.76718074,439.91315173,
2026-06-03 04:44:00,1780461840,439.91315173,440.16198505,429.30299546,434.09328088,
2026-06-03 04:45:00,1780461900,434.09328088,436.76353857,430.67392477,430.86779021,
2026-06-03 04:46:00,1780461960,430.86779021,434.93884105,430.73708027,431.12793078,
2026-06-03 04:47:00,1780462020,431.12793078,432.66707293,426.09466677,426.39659077,
2026-06-03 04:48:00,1780462080,426.39659077,432.77299855,425.28411825,430.73383901,
2026-06-03 04:49:00,1780462140,430.73383901,433.72848983,430.20975329,433.50844595,
2026-06-03 04:50:00,1780462200,433.50844595,436.81888408,433.42139825,435.3856868,
2026-06-03 04:51:00,1780462260,435.3856868,442.65868718,433.75814448,442.57685976,
2026-06-03 04:52:00,1780462320,442.57685976,451.3551081,441.62785507,451.27368523,
